subject,from,date,body
SSMS Night Cafe,"""Mail Admin @ Pilani Campus"" <mailadmin@pilani.bits-pilani.ac.in>","Fri, 29 Oct 2021 14:43:11 +0530","SOCIETY FOR STUDENT MESS SERVICES, PILANI

(Registered Under Rajasthan Societies Act, 1958)

SSMS Office, Vidya Vihar Campus, BITS Pilani

____________________________________________________________________________________________________________


Greetings,

We hope that you are making a smooth transition to on-campus life.

Upholding its active spirit to cater in accordance with the best interests
of BITSians, the SSMS is pleased to introduce the Night Canteen- offering
hygienic snacking options and fully hearty meals post-dinner on a trial
basis, from 29th October to 31st October, following the response of which
it may be reinstated on a regular basis.

Fulfillment of all transactions pertaining to the Night Canteen shall be at
the PitStop via Student ID Cards only. Additionally, the PitStop shall be
operational with the usual items available for sale during these hours.
However, the PitStop will be functional in Night Canteen only and not the
regular mess for these three days.

Date: 29th October to 31st October 2021

Time: 10:30PM to 1:45AM

Location: Ram Budh and Krishna Gandhi mess

Please note that entry into RB and KG messes for Night Canteen is permitted
to all BITSians regardless of their hostel or gender. The menu at both the
messes is also made a little different for the sake of variety.

For any queries, please feel free to reach out to the undersigned.

Thanks and Regards


*Garvit Sukhija*

The President

SSMS Governing Council

Personal Email <garvitsukhija11@gmail.com> | University Email
<f20190952@pilani.bits-pilani.ac.in>
"
Revised Library Timings w.e.f 30th October 2021,"""Mail Admin @ Pilani Campus"" <mailadmin@pilani.bits-pilani.ac.in>","Fri, 29 Oct 2021 14:45:15 +0530","Dear  All,

Please note the revised library timings w.e.f 30th October 2021 till
further notice.
[image: image.png]
=E2=80=9CMay the celebrations and festivities surround you and shower you w=
ith
happiness and success=E2=80=A6. Wishing you a very Happy Diwali in advance.=
=E2=80=9D

*Thanks *

*Dr. Ranjan Sinha Thakur, Librarian*
"
Request for updating your details in the library system,"""Mail Admin @ Pilani Campus"" <mailadmin@pilani.bits-pilani.ac.in>","Wed, 27 Oct 2021 14:39:42 +0530","Dear Students/PHD Scholars,

Please note that for the issue/return/renewal/reservation of library books,
registration in the library record is mandatory. Those who have already
received the new student card and who have not yet registered/updated in
our library system must do so as soon as possible. You are requested to
fill the registration form available at library helpdesk.


 Now onwards, to use the library, you must record your *entry and exit and
purpose of your library visit *each time using the Patron Traffic
Management System placed at the library's main door. Please record your
entry and exit by scanning the barcode available on your card.
*Thanks *

*Librarian*
"
Fundraiser,"""Mail Admin @ Pilani Campus"" <mailadmin@pilani.bits-pilani.ac.in>","Wed, 27 Oct 2021 11:09:15 +0530","*Greetings from the Students' Union,*
It is with a heavy heart that we have to inform you that Shri Mukesh, an
employee of the BITS COOP store has passed away on the night of 18th
October, 2021. He had been suffering from mouth cancer for the past one
year and has left behind a family of which he was the only income source.

Shri Ratan Singh, owner of our beloved Gandhi Redi, has also been battling
with blood cancer over the past year.

We hope that the BITSian community will step forward in their time of need
and contribute to reducing their financial burden.

Kindly fill the google form given below to donate, the amount would
directly be deducted from the SWD account of the student :
Form link <https://forms.gle/vzki1AKb2Hnecgry7>

Please remember that every single donation counts and will directly impact
lives. Let us come together in characteristic BITSian style and support
these individuals who have dedicated their lives to this place we all call
home.

--

*Regards*
*Students' Union 2021-22*
"
SSMS Diwali Sweets Notice,"""Mail Admin @ Pilani Campus"" <mailadmin@pilani.bits-pilani.ac.in>","Wed, 27 Oct 2021 09:44:43 +0530","SOCIETY FOR STUDENT MESS SERVICES, PILANI

(Registered Under Rajasthan Societies Act, 1958)

SSMS Office, Vidya Vihar Campus, BITS Pilani

____________________________________________________________________________________



Dear students and faculty members,

Greetings from SSMS!

This is to inform you that the SSMS is employing its special kitchen in
order to supply good quality sweets at reasonable rates to the faculty
members, staff, and the students of BITS Pilani on the auspicious occasion
of *Diwali*. The list for these sweets is as follows:-



Sr. No.

Name of the item

1.

Gulab Jamun

2.

Mixture

3.

Bhujia

4.

Mohanthal

5.

Rasgulla

6.

Chocolate burfee

7.

Ladoo

8.

Balushai



Kindly take note that these sweets are going to be prepared using *pure
desi ghee *and that all the raw materials will also be in line with good
production standards.

You may place your order by filling out the following Google form
<https://forms.gle/sZ7Qehaoo1yiijH47> before 5 pm on 1 November 2021. (Fill
the form multiple times if you want more than one item) Please note that
the ordered sweets will have to be collected from *Krishna-Gandhi mess*.
There will not be any home/room delivery.

Happy Diwali

Thanking you,

SSMS Governing Council
"
Extended Library Timings,"""Mail Admin @ Pilani Campus"" <mailadmin@pilani.bits-pilani.ac.in>","Tue, 26 Oct 2021 11:24:36 +0530","Dear All

We are pleased to announce the extended library hours during your midterm
exam.

REVISED LIBRARY TIMINGS

*w.e.f 25th  October 2021 to 29th October 2021*



*MONDAY - FRIDAY*

*9:00 AM =E2=80=93 04:00 AM*





ISSUE/RETURN TIMINGS



MONDAY - FRIDAY

9:30 AM =E2=80=93 3:00 AM






*Thanks & regards,*

*Dr. Ranjan Sinha Thakur, Librarian*
"
=?UTF-8?Q?Student=E2=80=99s_Leave_Report_portal?=,AUGSD Pilani <augsdpilani@pilani.bits-pilani.ac.in>,"Mon, 25 Oct 2021 16:30:19 +0530","Dear Colleagues,



This is in reference to the following email sent to students by Chief
Warden.



Considering the same, a portal namely =E2=80=9C*Student=E2=80=99s Leave Rep=
ort (For IC)*=E2=80=9D
has been developed and made available to all Instructor In-charges (ICs)
under the Academic Services tab of AUGSD-AGSRD website (
https://academic.bits-pilani.ac.in/). Using this portal, ICs will be able
to download the list of students whose leave applications have been
approved by the Wardens along with the date of their return to campus.



Accordingly, you are requested to provide the opportunity to the students
for online classes as well as evaluations components (excluding Mid
Semester Make-up and Comprehensive Exams) during their leave period.



Associate Deans

AUGSD/AGSRD



---------- Forwarded message ---------
From: Chief Warden <chiefwarden@pilani.bits-pilani.ac.in>
Date: Mon, Oct 25, 2021 at 12:42 PM
Subject: Leave application

Dear Student,

We hope that this email finds you well. We are sure that you must be doing
well in your mid sem exams and enjoying the campus stay.

You will be happy to know that the *leave portal is ON* now. You can apply
for the leave from the link: https://academic.bits-pilani.ac.in/. After the
login you will find the *leave application* button in the section *Other
services. *Read all the instructions carefully and apply for the leave.
Please note that you have to upload *parent's consent* before the
submission. The form and other instructions are attached herewith.

*No further emails for leave related queries.*

With best regards,

*Navin Singh <http://universe.bits-pilani.ac.in/pilani/navin/profile>*
"
"UC GBM Meet | 7:00 PM | 30th October, 2021",Student Union BITS Pilani <studentunion@pilani.bits-pilani.ac.in>,"Mon, 25 Oct 2021 12:05:59 +0530","*Greetings from the Students' Union!*

The Students' Union has scheduled a UC-GBM Meet at *7:00 PM* on *30th
October 2021*.

We invite all the General Body Members to attend the meet, raise any
queries and give their valuable suggestions and feedback. The meet will
commence with a summary of the work done by the SU since the last UC-GBM
meet.

The joining details would be shared closer to the event.

Kindly fill in any queries to be addressed in the GBM meet in the form
attached below:

GBM Meet Queries <https://forms.gle/9DV1biqvGTDPq6Ux9>

*Regards*
*Students' Union 2021-22*
"
Notice for Meera Residents,"""Mail Admin @ Pilani Campus"" <mailadmin@pilani.bits-pilani.ac.in>","Mon, 25 Oct 2021 09:47:23 +0530","SOCIETY FOR STUDENT MESS SERVICES, PILANI

(Registered Under Rajasthan Societies Act, 1958)

SSMS Office, Vidya Vihar Campus, BITS Pilani

____________________________________________________________________________________________________________


Greetings!

Keeping in mind the mid-semester examinations this week, SSMS plans to open
the Ram-Budh mess during lunch timings from *October 25th to October 30th,
2021* for Meera Residents.

Please keep the following points in mind:


   1.

   All the interested female students are requested to fill this Google Form
   <https://forms.gle/QptvFHe9g2xd92gR6> a day before the required
   services. Please do fill the form timely so as to ensure smooth functioning.
   2.

   The form would be open to accepting responses between *11 AM-11:59 PM*
   every day to register for the next day only.
   3.

   On entering the Ram-Budh Mess, each student is required to sign against
   the attendance sheet provided at the Pitstop.
   4.

   These services would be at no extra cost.
   5.

   A QR code will be put up at the entrance of both the Meera mess and the
   Ram-Budh Mess for the students to have easy access to fill up the form.


Regards,

SSMS Governing Council
"
Revised - Covid vaccination,"""Mail Admin @ Pilani Campus"" <mailadmin@pilani.bits-pilani.ac.in>","Sat, 23 Oct 2021 09:56:51 +0530","Dear all campus Residents
Covid 19 vaccination camp has been arranged today on 23.10.2021,Saturday
from 10 am to 12 pm at our Medical center with the help of local
Govt.authority.Any eligible person who are due for vaccination either 1st
or 2nd dose can get their jab done today in schedule time.Available vaccine
will be covisheild.

With best Regards
Dr.Guru prasad Burnwal
CMO
"
Covid vaccination,"""Mail Admin @ Pilani Campus"" <mailadmin@pilani.bits-pilani.ac.in>","Sat, 23 Oct 2021 09:27:54 +0530","Dear all campus Residents
Covid 19 vaccination camp has been arranged today on 23.10.2021,Saturday
from 10 am to 12 pm at our Medical center with the help of local
Govt.authority.Any eligible person who are due for vaccination either 1st
or 2nd dose can get their jab done today in schedule time.

With best Regards
Dr.Guru prasad Burnwal
CMO
"
Invitation for Target 25- Others by HackerEarth,support@hackerearth.com,"Fri, 22 Oct 2021 14:50:49 +0000","CgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCkhpIEFZVVNIICBHT1lBTCwKWW91
IGhhdmUgYmVlbiBpbnZpdGVkIHRvIHRha2UgVGFyZ2V0IDI1LSBPdGhlcnMgYnkgSGFja2VyRWFy
dGguRm9yIHRoZSBjaGFsbGVuZ2UgVGFyZ2V0IDI1LCB5b3UgaGF2ZSByZWdpc3RlcmVkLgpUZXN0
IGRldGFpbHMKCk9wZW5zIGF0OiAyMyBPY3QsIDIwMjEgKFNhdHVyZGF5KSB8IDExOjAwYS5tLgpD
bG9zZXMgYXQ6IE9jdCAyMywgMjAyMSAwNDowMCBQTSBJU1QKVGVzdCBEdXJhdGlvbjogMiBocnMg
MTUgbWlucwpUZXN0IExpbms6IGh0dHBzOi8vd3d3LmhhY2tlcmVhcnRoLmNvbS9jaGFsbGVuZ2Vz
L3Rlc3QvdGFyZ2V0LTI1LW90aGVycy8/bG9naW49MDUyODc1NDQ5N2YwMzU1NmI1OGNjODUxZTc5
MWYxYjEgCgoKSW1wb3J0YW50CgpZb3UgY2FuIHRha2UgdGhpcyB0ZXN0IGFueXRpbWUgYmV0d2Vl
biB0aGUgc3RhcnQgZGF0ZS90aW1lIGFuZCBlbmQgZGF0ZS90aW1lLgpPbmNlIHRoZSB0ZXN0IHN0
YXJ0cywgeW91IGNhbm5vdCBwYXVzZSBpdC4gVGhlIHRlc3Qgd2lsbCBydW4gY29udGludW91c2x5
IGZvciAyIGhycyAxNSBtaW5zLgoKQmVmb3JlIHlvdSBiZWdpbgpCZWZvcmUgeW91IHRha2UgdGhl
IFRhcmdldCAyNS0gT3RoZXJzLCB3ZSByZWNvbW1lbmQgdGhhdCB5b3UgdGFrZSB0aGUgcHJhY3Rp
Y2UgdGVzdCBhIGZldyBkYXlzIGJlZm9yZSB0aGUgYWN0dWFsIHRlc3QuCkFkdmFudGFnZXMgb2Yg
dGFraW5nIHRoZSBwcmFjdGljZSB0ZXN0CgpZb3UgZ2V0IGZhbWlsaWFyIHdpdGggdGhlIEhhY2tl
ckVhcnRoIFJlY3J1aXQgcGxhdGZvcm0gaW5jbHVkaW5nIHRoZSBwcm9jdG9yaW5nIHNldHRpbmdz
LiBUaGUgYWN0dWFsIHRlc3QgbWF5IGhhdmUgZmV3ZXIgcmVzdHJpY3Rpb25zIHRoYW4gdGhlIHBy
YWN0aWNlIHRlc3QuIFRoaXMgYWR2YW5jZWQgZmFtaWxpYXJpdHkgd2lsbCBlbmFibGUgeW91IHRv
IHNvbHZlIHByb2JsZW1zIG1vcmUgZWZmaWNpZW50bHkgZHVyaW5nIHRoZSBhY3R1YWwgdGVzdC4K
QW4gYXV0b21hdGljIHN5c3RlbS1jb21wYXRpYmlsaXR5IGNoZWNrIGlzIHBlcmZvcm1lZCBiZWZv
cmUgeW91IHN0YXJ0IHRoZSB0ZXN0LiBJZiB5b3VyIHN5c3RlbSBpc24ndCBjb21wYXRpYmxlLCB5
b3UgbXVzdCBtYWtlIHRoZSByZXF1aXJlZCBjaGFuZ2VzIGJlZm9yZSB5b3UgdGFrZSB0aGUgYWN0
dWFsIHRlc3QuCgpSZWdhcmRzLApUZWFtIEhhY2tlckVhcnRoCgoKCgoKCgoKCgoKCgoKCgoKCgoK
Cgo=
"
Dentist on leave,"""Mail Admin @ Pilani Campus"" <mailadmin@pilani.bits-pilani.ac.in>","Fri, 22 Oct 2021 12:04:05 +0530"," Dear Campus Residents
This is to notify that our Dentist Dr. Sanjay Katewa will be on leave on
this Saturday 23.10.21.His next visit in our medical center will be on
30.10.21 from 4pm to 6.30 pm..
Please plan your appointment accordingly.

Regards
CMO,BITS
"
Winter time schedule of Medical Center,"""Mail Admin @ Pilani Campus"" <mailadmin@pilani.bits-pilani.ac.in>","Fri, 22 Oct 2021 10:19:42 +0530","BIRLA INSTITUTE OF TECHNOLOGY & SCIENCE, PILANI

                         (RAJASTHAN) 333031, INDIA

                                    MEDICAL CENTER



                                                          *Notice
         *


Dated- 22-10-2021

With effect from Monday the 25th October, 2021 the Winter Timings of the
Medical Centre will be as follow:

WEEK DAYS     -          Morning:         From   9.00 AM to 01.00 P.M.

                                    Evening:           From 5.00 P.M. to
6.30 P.M.

SUNDAY           -           Morning:         From: 9.30 A.M. to 11.00 A.M.








Chief Medical Officer

Medical Center
"
Suspension of Class work (Except for FD Students Admitted in AY 2021-22),AUGSD Pilani <augsdpilani@pilani.bits-pilani.ac.in>,"Fri, 22 Oct 2021 10:22:15 +0530","*BIRLA INSTITUTE OF TECHNOLOGY AND SCIENCE, PILANI, PILANI CAMPUS*

*AUGS/AGSR DIVISIONS*

* FIRST SEMESTER 2021-22*




*NOTICE*



The class work will remain suspended during October 25=E2=80=9330, 2021 on =
account
of Mid Semester Examinations.



Please note that classes will remain continue for the *First Degree
students admitted in AY 2021-22*.



Associate Deans
"
Instructions for Examination,AUGSD Pilani <augsdpilani@pilani.bits-pilani.ac.in>,"Thu, 21 Oct 2021 17:22:50 +0530","*BIRLA INSTITUTE OF TECHNOLOGY AND SCIENCE, PILANI*

*AUGS/AGSR DIVISION*



*Instructions for Examination *



*For Offline mode*



=C2=B7         Student must check the Examination schedule and seating
arrangement for their courses available on AUGSD-AGSRD website.

=C2=B7         *It is must to carry student Identity Card during the Examin=
ation**.
*Students, who fail to produce their ID cards to the invigilator may be
asked to leave the Examination hall.

=C2=B7         Students should not bring any electronic devices such as* di=
gital
diaries, palm tops, mobile phones, smart watch etc.* to the Examination
Hall.

=C2=B7         Exchange of calculators, geometrical tools or any such thing=
 will
not be allowed by the Invigilators.

=C2=B7         Students must not involve themselves into any kind of copyin=
g /
cheating or the use /attempted use of trickery, artifice, and/or
representation of one=E2=80=99s academic work. Do not substitute with any o=
ther
person to write examination on your behalf. Do not allow another to copy
your work during examination. *Any such cases reported will be dealt
strictly as per the guidelines for the punishment of unfair means cases
available on AUGSD-AGSRD website.*

=C2=B7         All students must write examination. In case of extreme
emergency, where a makeup is sought, you should see the details mentioned
in Instruction for make-up available on AUGSD-AGSRD website.

=C2=B7         Do not leave the exam room/hall without handing over the ans=
wer
sheet to the Invigilator on duty.


Associate Deans
"
Fwd: Please Circulate: Research Week with Google 2022,Sanwar Mal <sms@pilani.bits-pilani.ac.in>,"Thu, 21 Oct 2021 11:04:06 +0530","Dear Students
Please go through the forwarded email.

Thanks
SM
-


-------- Forwarded Message --------
Subject: Please Circulate: Research Week with Google 2022
Date: Tue, 19 Oct 2021 11:48:58 +0000
From: rishabhtrivedi@google.com
To: sudeeptm@pilani.bits-pilani.ac.in
CC: dthakkar@google.com, research-programs-in@google.com

Dear Prof. Sudeept Mohan,

Hope you are well! I work on University Relations programs at Google
Research. We are excited to share notification for a new program for
students at your university hosted by Google Research India.

Google Research India is hosting a four day *'Research Week with Google'*
for Undergraduate, Master's and PhD students in India (combined track for
undergraduate and masters students, advanced track for Ph.D students). The
program structure is to provide a forum with leading experts to discuss the
state-of-art of a variety of ML Techniques and also discuss their
limitations and critiques.

Research Week with Google will consist of four days of research lectures
and discussions where esteemed researchers will discuss ideas and seminal
papers in AI Research to understand current developments and debates in the
field. This would be a platform to share and learn cutting-edge ideas and
developments in the field.

We would like to invite applications from final year undergraduate/Master=
=E2=80=99s
students and PhD students (all years) at your university who are interested
in AI from related fields in CS, ECE, EE and other applicable departments.
Since we have limited capacity, selection will be competitive.

We request you to please circulate this application form
<https://docs.google.com/forms/d/e/1FAIpQLSe3qMeZDZuF2BXmI-mQ3Mp4MPz-7m7EIL=
p1HQX41Q4fq-wcvA/viewform>
among students.The deadline to apply for the program is 11:59 PM IST,
November 15, 2021. For more details visit the program website
<https://sites.google.com/view/researchweek2022>.

Looking forward to seeing several applicants from your institution!

Please let Divy (on cc) or I know if you have any questions.

Best,
Rishabh Trivedi & Divy Thakkar,
On behalf of our the organising team and Program chairs (Manish Gupta and
Ashwani Sharma)
Google Research India


------------------------------
[image: AVG logo] <https://www.avg.com/internet-security>

This email has been checked for viruses by AVG antivirus software.
www.avg.com <https://www.avg.com/internet-security>

<#m_-8784117930056942460_DAB4FAD8-2DD7-40BB-A1B8-4E2AA1F9FDF2>


--=20
Thanks & regards

Dept. of Computer Science & Information Systems
BITS-Pilani-333031
"
